"","family","genus","species","taxonomic_rank","taxon","lme","fao","habitat","reference_habitat","feeding_mode","reference_feeding_mode","trophic_level","level_tl","reference_tl","body_shape","fin_shape","ar","level_ar","reference_ar","offspring_size","level_offspring_size","reference_offspring_size","spawning_type","reference_spawning_type","age_maturity","level_age_maturity","reference_age_maturity","fecundity","level_fecundity","reference_fecundity","l_inf","k","level_growth","reference_growth","max_obs_length","level_length_max","reference_length_max","age_max","level_age_max","reference_age_max","temperature","reference_temperature","w_inf","reference_w_inf","natural_mortality","reference_mortality","length_maturity","reference_length_maturity"
"821","Trichiuridae","Benthodesmus","Benthodesmus simonyi","S","Benthodesmus simonyi",6,31,"benthopelagic","FroesePauly2018, OBIS2018","generalist","inferred from genus",3.96594343494273,"genus","FishLife","eel-like","forked",1.21,"gen","FroesePauly2018",1.28317028651196,"fam","FishLife","non-guarder","FroesePauly2018",3.22410013688571,"gen","FishLife",175806.262209956,"gen","FishLife",106.874464648655,0.214448722848835,"fam-ocean","FishLife",130,"spe","FroesePauly2018",17.3,"fam","FroesePauly2018",18.3640954150055,"FishLife",5014.17912416821,5014.17912416821,0.233683946393162,"FishLife",49.7506390300073,"FishLife"
"822","Trichiuridae","Benthodesmus","Benthodesmus simonyi","S","Benthodesmus simonyi",7,21,"benthopelagic","FroesePauly2018, OBIS2018","generalist","inferred from genus",3.96594343494273,"genus","FishLife","eel-like","forked",1.21,"gen","FroesePauly2018",1.28317028651196,"fam","FishLife","non-guarder","FroesePauly2018",3.22410013688571,"gen","FishLife",175806.262209956,"gen","FishLife",106.874464648655,0.214448722848835,"fam-ocean","FishLife",130,"spe","FroesePauly2018",17.3,"fam","FroesePauly2018",18.3640954150055,"FishLife",5014.17912416821,5014.17912416821,0.233683946393162,"FishLife",49.7506390300073,"FishLife"
"823","Trichiuridae","Benthodesmus","Benthodesmus simonyi","S","Benthodesmus simonyi",8,21,"benthopelagic","FroesePauly2018, OBIS2018","generalist","inferred from genus",3.96594343494273,"genus","FishLife","eel-like","forked",1.21,"gen","FroesePauly2018",1.28317028651196,"fam","FishLife","non-guarder","FroesePauly2018",3.22410013688571,"gen","FishLife",175806.262209956,"gen","FishLife",106.874464648655,0.214448722848835,"fam-ocean","FishLife",130,"spe","FroesePauly2018",17.3,"fam","FroesePauly2018",18.3640954150055,"FishLife",5014.17912416821,5014.17912416821,0.233683946393162,"FishLife",49.7506390300073,"FishLife"
"766","Stomiidae","Chauliodus","Chauliodus sloani","S","Chauliodus sloani",6,31,"bathypelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",4.2,"spe","FroesePauly2018","elongated","forked",1.33,"spe","FroesePauly2018",1.8338257946793,"gen","FishLife","non-guarder","FroesePauly2018",1.69629142191029,"","FishLife",7840.34200008912,"fam-LME","FishLife",16.8877785300641,0.497320128648619,"gen-ocean","FishLife",11,"spe-ocean","FroesePauly2018",8,"gen","FroesePauly2018",7.3923067903069,"FishLife",41.372637994742,41.372637994742,0.892108341657126,"FishLife",10.6481906918835,"FishLife"
"767","Stomiidae","Chauliodus","Chauliodus sloani","S","Chauliodus sloani",7,21,"bathypelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",4.2,"spe","FroesePauly2018","elongated","forked",1.33,"spe","FroesePauly2018",1.8338257946793,"gen","FishLife","non-guarder","FroesePauly2018",1.69629142191029,"","FishLife",7840.34200008912,"fam-LME","FishLife",16.8877785300641,0.497320128648619,"gen-ocean","FishLife",11,"spe-ocean","FroesePauly2018",8,"gen","FroesePauly2018",7.3923067903069,"FishLife",41.372637994742,41.372637994742,0.892108341657126,"FishLife",10.6481906918835,"FishLife"
"768","Stomiidae","Chauliodus","Chauliodus sloani","S","Chauliodus sloani",8,21,"bathypelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",4.2,"spe","FroesePauly2018","elongated","forked",1.33,"spe","FroesePauly2018",1.8338257946793,"gen","FishLife","non-guarder","FroesePauly2018",1.69629142191029,"","FishLife",7840.34200008912,"fam-LME","FishLife",16.8877785300641,0.497320128648619,"gen-ocean","FishLife",11,"spe-ocean","FroesePauly2018",8,"gen","FroesePauly2018",7.3923067903069,"FishLife",41.372637994742,41.372637994742,0.892108341657126,"FishLife",10.6481906918835,"FishLife"
"769","Stomiidae","Chauliodus","Chauliodus sloani","S","Chauliodus sloani",9,21,"bathypelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",4.2,"spe","FroesePauly2018","elongated","forked",1.33,"spe","FroesePauly2018",1.8338257946793,"gen","FishLife","non-guarder","FroesePauly2018",1.69629142191029,"","FishLife",7840.34200008912,"fam-LME","FishLife",16.8877785300641,0.497320128648619,"gen-ocean","FishLife",11,"spe-ocean","FroesePauly2018",8,"gen","FroesePauly2018",7.3923067903069,"FishLife",41.372637994742,41.372637994742,0.892108341657126,"FishLife",10.6481906918835,"FishLife"
"765","Stomiidae","Chauliodus","Chauliodus danae","S","Chauliodus danae",7,21,"bathypelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",4.01,"spe","FroesePauly2018","elongated","forked",1.85,"spe","FroesePauly2018",1.93855604448812,"gen","FishLife","non-guarder","FroesePauly2018",2.07943361271651,"","FishLife",14832.4635497258,"fam-LME","FishLife",22.9809862758182,0.400013584271049,"gen-ocean","FishLife",15,"spe","FroesePauly2018",7,"fam","FroesePauly2018",6.93462034736758,"FishLife",100.803660049119,100.803660049119,0.68610395225202,"FishLife",14.0558201091648,"FishLife"
"149","Chlorophthalmidae","Parasudis","Parasudis truculenta","S","Parasudis truculenta",6,21,"demersal","FroesePauly2018, OBIS2018","piscivorous","FroesePauly2018",4.2,"spe","FroesePauly2018","fusiform","forked",1.22,"spe","FroesePauly2018",1.29558300090964,"fam","FishLife","non-guarder","FroesePauly2018",2.08399088166062,"fam","FishLife",5739.8035423034,"fam","FishLife",21.5925469633185,0.388065590814923,"fam-ocean","FishLife",25,"spe","FroesePauly2018",10,"fam","D'onghia2006",13.7929384824209,"FishLife",76.6476514754446,76.6476514754446,0.829400631093055,"FishLife",11.4217054873933,"FishLife"
"150","Chlorophthalmidae","Parasudis","Parasudis truculenta","S","Parasudis truculenta",6,31,"demersal","FroesePauly2018, OBIS2018","piscivorous","FroesePauly2018",4.2,"spe","FroesePauly2018","fusiform","forked",1.22,"spe","FroesePauly2018",1.29558300090964,"fam","FishLife","non-guarder","FroesePauly2018",2.08399088166062,"fam","FishLife",5739.8035423034,"fam","FishLife",21.5925469633185,0.388065590814923,"fam-ocean","FishLife",25,"spe","FroesePauly2018",10,"fam","D'onghia2006",13.7929384824209,"FishLife",76.6476514754446,76.6476514754446,0.829400631093055,"FishLife",11.4217054873933,"FishLife"
"151","Chlorophthalmidae","Parasudis","Parasudis truculenta","S","Parasudis truculenta",7,21,"demersal","FroesePauly2018, OBIS2018","piscivorous","FroesePauly2018",4.2,"spe","FroesePauly2018","fusiform","forked",1.22,"spe","FroesePauly2018",1.29558300090964,"fam","FishLife","non-guarder","FroesePauly2018",2.08399088166062,"fam","FishLife",5739.8035423034,"fam","FishLife",21.5925469633185,0.388065590814923,"fam-ocean","FishLife",25,"spe","FroesePauly2018",10,"fam","D'onghia2006",13.7929384824209,"FishLife",76.6476514754446,76.6476514754446,0.829400631093055,"FishLife",11.4217054873933,"FishLife"
