"","family","genus","species","taxonomic_rank","taxon","lme","fao","habitat","reference_habitat","feeding_mode","reference_feeding_mode","trophic_level","level_tl","reference_tl","body_shape","fin_shape","ar","level_ar","reference_ar","offspring_size","level_offspring_size","reference_offspring_size","spawning_type","reference_spawning_type","age_maturity","level_age_maturity","reference_age_maturity","fecundity","level_fecundity","reference_fecundity","l_inf","k","level_growth","reference_growth","max_obs_length","level_length_max","reference_length_max","age_max","level_age_max","reference_age_max","temperature","reference_temperature","w_inf","reference_w_inf","natural_mortality","reference_mortality","length_maturity","reference_length_maturity"
"278","Gempylidae","Promethichthys","Promethichthys prometheus","S","Promethichthys prometheus",7,21,"benthopelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",4.18,"spe","FroesePauly2018","fusiform","forked",2.28,"spe","FroesePauly2018",1.32329708777877,"fam","FishLife","non-guarder","FroesePauly2018",4,"spe-ocean","FroesePauly2019",146130.987576048,"fam-ocean","FishLife",94,0.17,"spe-ocean","FroesePauly2018",80,"spe-ocean","FroesePauly2018",11,"spe-ocean","FroesePauly2018",17.6621444245133,"FishLife",4067.98758182906,4067.98758182906,0.285873146111787,"FishLife",36.9843335059402,"FishLife"
"75","Carangidae","Caranx","Caranx crysos","S","Caranx crysos",6,21,"reef-associated","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",4.13,"spe","FroesePauly2018","fusiform","lunate",3.36,"spe","FroesePauly2018",0.836349655078741,"fam","FishLife","non-guarder","FroesePauly2018",1.75362404332894,"gen-ocean","FishLife",793500,"spe-LME","FroesePauly2018",41,0.35,"spe-ocean","FroesePauly2018",70,"spe","FroesePauly2018",11,"spe-LME","FroesePauly2018",25.159668932672,"FishLife",1274.182279727,1274.182279727,0.592333230156803,"FishLife",17.9243644546365,"FishLife"
"76","Carangidae","Caranx","Caranx crysos","S","Caranx crysos",6,31,"reef-associated","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",4.13,"spe","FroesePauly2018","fusiform","lunate",3.36,"spe","FroesePauly2018",0.836349655078741,"fam","FishLife","non-guarder","FroesePauly2018",1.75362404332894,"gen-ocean","FishLife",793500,"spe-LME","FroesePauly2018",41,0.35,"spe-FAO","FroesePauly2018",70,"spe","FroesePauly2018",11,"spe-LME","FroesePauly2018",25.159668932672,"FishLife",1274.182279727,1274.182279727,0.592333230156803,"FishLife",17.9243644546365,"FishLife"
"77","Carangidae","Caranx","Caranx crysos","S","Caranx crysos",7,21,"reef-associated","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",4.13,"spe","FroesePauly2018","fusiform","lunate",3.36,"spe","FroesePauly2018",0.836349655078741,"fam","FishLife","non-guarder","FroesePauly2018",1.75362404332894,"gen-ocean","FishLife",793500,"spe-LME","FroesePauly2018",41,0.35,"spe-ocean","FroesePauly2018",70,"spe","FroesePauly2018",11,"spe-LME","FroesePauly2018",25.159668932672,"FishLife",1274.182279727,1274.182279727,0.592333230156803,"FishLife",17.9243644546365,"FishLife"
"770","Stromateidae","Peprilus","Peprilus triacanthus","S","Peprilus triacanthus",6,21,"benthopelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.91,"spe","FroesePauly2018","compressiform","forked",2.83,"spe","FroesePauly2018",0.77,"spe","FroesePauly2018","non-guarder","FroesePauly2018",0.9,"spe-ocean","FroesePauly2019",21101.42077351,"","FishLife",29.1195785015341,0.776015341895294,"gen-ocean","FishLife",31,"spe-FAO","FroesePauly2018",2,"gen","FroesePauly2018",24.179385159873,"FishLife",310.783727090831,310.783727090831,0.807234139505677,"FishLife",14.1694397200476,"FishLife"
"771","Stromateidae","Peprilus","Peprilus triacanthus","S","Peprilus triacanthus",6,31,"benthopelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.91,"spe","FroesePauly2018","compressiform","forked",2.83,"spe","FroesePauly2018",0.77,"spe","FroesePauly2018","non-guarder","FroesePauly2018",0.9,"spe-ocean","FroesePauly2019",21101.42077351,"","FishLife",29.1195785015341,0.776015341895294,"gen-FAO","FishLife",31,"spe-ocean","FroesePauly2018",2,"gen","FroesePauly2018",24.179385159873,"FishLife",310.783727090831,310.783727090831,0.807234139505677,"FishLife",14.1694397200476,"FishLife"
"772","Stromateidae","Peprilus","Peprilus triacanthus","S","Peprilus triacanthus",7,21,"benthopelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.91,"spe","FroesePauly2018","compressiform","forked",2.83,"spe","FroesePauly2018",0.77,"spe","FroesePauly2018","non-guarder","FroesePauly2018",0.9,"spe-ocean","FroesePauly2019",21101.42077351,"","FishLife",29.1195785015341,0.776015341895294,"gen-ocean","FishLife",31,"spe-FAO","FroesePauly2018",2,"gen","FroesePauly2018",24.179385159873,"FishLife",310.783727090831,310.783727090831,0.807234139505677,"FishLife",14.1694397200476,"FishLife"
"773","Stromateidae","Peprilus","Peprilus triacanthus","S","Peprilus triacanthus",8,21,"benthopelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.91,"spe","FroesePauly2018","compressiform","forked",2.83,"spe","FroesePauly2018",0.77,"spe","FroesePauly2018","non-guarder","FroesePauly2018",0.9,"spe-ocean","FroesePauly2019",21101.42077351,"","FishLife",29.1195785015341,0.776015341895294,"gen-ocean","FishLife",31,"spe-LME","FroesePauly2018",2,"gen","FroesePauly2018",24.179385159873,"FishLife",310.783727090831,310.783727090831,0.807234139505677,"FishLife",14.1694397200476,"FishLife"
"774","Stromateidae","Peprilus","Peprilus triacanthus","S","Peprilus triacanthus",9,21,"benthopelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.91,"spe","FroesePauly2018","compressiform","forked",2.83,"spe","FroesePauly2018",0.77,"spe","FroesePauly2018","non-guarder","FroesePauly2018",0.9,"spe-ocean","FroesePauly2019",21101.42077351,"","FishLife",29.1195785015341,0.776015341895294,"gen-ocean","FishLife",31,"spe-LME","FroesePauly2018",2,"gen","FroesePauly2018",24.179385159873,"FishLife",310.783727090831,310.783727090831,0.807234139505677,"FishLife",14.1694397200476,"FishLife"
"94","Carangidae","Selene","Selene setapinnis","S","Selene setapinnis",6,21,"benthopelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.72,"spe","FroesePauly2018","compressiform","lunate",3.53,"spe","FroesePauly2018",0.756876814123159,"fam","FishLife","non-guarder","FroesePauly2018",1.08642956912624,"fam-ocean","FishLife",55700.159782065,"fam-LME","FishLife",23,0.63,"spe-ocean","FroesePauly2018",52,"spe-ocean","FroesePauly2018",19.8,"fam","FroesePauly2018",25.6753170446144,"FishLife",195.235530432278,195.235530432278,0.950291147666909,"FishLife",11.7847867965782,"FishLife"
"95","Carangidae","Selene","Selene setapinnis","S","Selene setapinnis",6,31,"benthopelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.72,"spe","FroesePauly2018","compressiform","lunate",3.53,"spe","FroesePauly2018",0.756876814123159,"fam","FishLife","non-guarder","FroesePauly2018",1.08642956912624,"fam-ocean","FishLife",55700.159782065,"fam-LME","FishLife",23,0.63,"spe-FAO","FroesePauly2018",52,"spe-ocean","FroesePauly2018",19.8,"fam","FroesePauly2018",25.6753170446144,"FishLife",195.235530432278,195.235530432278,0.950291147666909,"FishLife",11.7847867965782,"FishLife"
"96","Carangidae","Selene","Selene setapinnis","S","Selene setapinnis",7,21,"benthopelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.72,"spe","FroesePauly2018","compressiform","lunate",3.53,"spe","FroesePauly2018",0.756876814123159,"fam","FishLife","non-guarder","FroesePauly2018",1.08642956912624,"fam-ocean","FishLife",55700.159782065,"fam-LME","FishLife",23,0.63,"spe-ocean","FroesePauly2018",52,"spe-ocean","FroesePauly2018",19.8,"fam","FroesePauly2018",25.6753170446144,"FishLife",195.235530432278,195.235530432278,0.950291147666909,"FishLife",11.7847867965782,"FishLife"
"97","Carangidae","Selene","Selene setapinnis","S","Selene setapinnis",8,21,"benthopelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.72,"spe","FroesePauly2018","compressiform","lunate",3.53,"spe","FroesePauly2018",0.756876814123159,"fam","FishLife","non-guarder","FroesePauly2018",1.08642956912624,"fam-ocean","FishLife",55700.159782065,"fam-ocean","FishLife",23,0.63,"spe-ocean","FroesePauly2018",52,"spe-ocean","FroesePauly2018",19.8,"fam","FroesePauly2018",25.6753170446144,"FishLife",195.235530432278,195.235530432278,0.950291147666909,"FishLife",11.7847867965782,"FishLife"
"98","Carangidae","Selene","Selene vomer","S","Selene vomer",6,21,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",4.29,"spe","FroesePauly2018","compressiform","lunate",3.71,"spe","FroesePauly2018",0.759182441052503,"fam","FishLife","non-guarder","FroesePauly2018",1.13342284924996,"fam-ocean","FishLife",58499.9980301693,"fam-LME","FishLife",27.0848336243727,0.636232141217191,"gen-ocean","FishLife",48,"spe","FroesePauly2018",19.8,"fam","FroesePauly2018",24.1702139652782,"FishLife",233.614918306864,233.614918306864,0.887524869280494,"FishLife",12.7334627311358,"FishLife"
"99","Carangidae","Selene","Selene vomer","S","Selene vomer",6,31,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",4.29,"spe","FroesePauly2018","compressiform","lunate",3.71,"spe","FroesePauly2018",0.759182441052503,"fam","FishLife","non-guarder","FroesePauly2018",1.13342284924996,"fam-ocean","FishLife",58499.9980301693,"fam-LME","FishLife",27.0848336243727,0.636232141217191,"gen-FAO","FishLife",48,"spe","FroesePauly2018",19.8,"fam","FroesePauly2018",24.1702139652782,"FishLife",233.614918306864,233.614918306864,0.887524869280494,"FishLife",12.7334627311358,"FishLife"
"100","Carangidae","Selene","Selene vomer","S","Selene vomer",7,21,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",4.29,"spe","FroesePauly2018","compressiform","lunate",3.71,"spe","FroesePauly2018",0.759182441052503,"fam","FishLife","non-guarder","FroesePauly2018",1.13342284924996,"fam-ocean","FishLife",58499.9980301693,"fam-LME","FishLife",27.0848336243727,0.636232141217191,"gen-ocean","FishLife",48,"spe","FroesePauly2018",19.8,"fam","FroesePauly2018",24.1702139652782,"FishLife",233.614918306864,233.614918306864,0.887524869280494,"FishLife",12.7334627311358,"FishLife"
"586","Priacanthidae","Priacanthus","Priacanthus arenatus","S","Priacanthus arenatus",6,21,"reef-associated","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",4.04,"spe","FroesePauly2018","fusiform","truncate",2.04,"spe","FroesePauly2018",0.498281342551985,"fam","FishLife","non-guarder","FroesePauly2018",1.51129637840518,"gen","FishLife",76409.6309408505,"","FishLife",48,0.69,"spe-ocean","FroesePauly2018",50,"spe","FroesePauly2018",6,"gen-ocean","FroesePauly2018",26.7335671959674,"FishLife",1156.24824737181,1156.24824737181,0.665494358463085,"FishLife",15.9356228880827,"FishLife"
"587","Priacanthidae","Priacanthus","Priacanthus arenatus","S","Priacanthus arenatus",6,31,"reef-associated","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",4.04,"spe","FroesePauly2018","fusiform","truncate",2.04,"spe","FroesePauly2018",0.498281342551985,"fam","FishLife","non-guarder","FroesePauly2018",1.51129637840518,"gen","FishLife",76409.6309408505,"","FishLife",48,0.69,"spe-FAO","FroesePauly2018",50,"spe","FroesePauly2018",6,"gen-ocean","FroesePauly2018",26.7335671959674,"FishLife",1156.24824737181,1156.24824737181,0.665494358463085,"FishLife",15.9356228880827,"FishLife"
"588","Priacanthidae","Priacanthus","Priacanthus arenatus","S","Priacanthus arenatus",7,21,"reef-associated","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",4.04,"spe","FroesePauly2018","fusiform","truncate",2.04,"spe","FroesePauly2018",0.498281342551985,"fam","FishLife","non-guarder","FroesePauly2018",1.51129637840518,"gen","FishLife",76409.6309408505,"","FishLife",48,0.69,"spe-ocean","FroesePauly2018",50,"spe","FroesePauly2018",6,"gen-ocean","FroesePauly2018",26.7335671959674,"FishLife",1156.24824737181,1156.24824737181,0.665494358463085,"FishLife",15.9356228880827,"FishLife"
"577","Pomatomidae","Pomatomus","Pomatomus saltatrix","S","Pomatomus saltatrix",6,21,"pelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",4.53,"spe","FroesePauly2018","fusiform","forked",2.39,"spe","FroesePauly2018",1.05,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2,"spe","FroesePauly2019",402247,"spe","Pecuchet2017",115,0.14,"spe-LME","FroesePauly2018",110,"spe-LME","FroesePauly2018",9,"spe-LME","FroesePauly2018",22.7209437844211,"FishLife",7331.18415447573,7331.18415447573,0.326254270382633,"FishLife",30.1957237660928,"FishLife"
"578","Pomatomidae","Pomatomus","Pomatomus saltatrix","S","Pomatomus saltatrix",6,31,"pelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",4.53,"spe","FroesePauly2018","fusiform","forked",2.39,"spe","FroesePauly2018",1.05,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2,"spe","FroesePauly2019",402247,"spe","Pecuchet2017",115,0.14,"spe-LME","FroesePauly2018",110,"spe-LME","FroesePauly2018",9,"spe-LME","FroesePauly2018",22.7209437844211,"FishLife",7331.18415447573,7331.18415447573,0.326254270382633,"FishLife",30.1957237660928,"FishLife"
"579","Pomatomidae","Pomatomus","Pomatomus saltatrix","S","Pomatomus saltatrix",7,21,"pelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",4.53,"spe","FroesePauly2018","fusiform","forked",2.39,"spe","FroesePauly2018",1.05,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2,"spe","FroesePauly2019",402247,"spe","Pecuchet2017",105,0.17,"spe-ocean","FroesePauly2018",110,"spe-LME","FroesePauly2018",9,"spe-LME","FroesePauly2018",22.7209437844211,"FishLife",7331.18415447573,7331.18415447573,0.326254270382633,"FishLife",30.1957237660928,"FishLife"
"634","Sciaenidae","Micropogonias","Micropogonias undulatus","S","Micropogonias undulatus",6,21,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",4,"spe","FroesePauly2018","fusiform","truncate",1.26,"spe","FroesePauly2018",0.734715393288428,"fam","FishLife","non-guarder","inferred from genus",1,"spe-ocean","FroesePauly2019",209149.385436226,"fam-LME","FishLife",65,0.2,"spe-LME","FroesePauly2018",52,"spe-LME","FroesePauly2018",8,"spe","FroesePauly2018",24.7192226372028,"FishLife",696.053677759848,696.053677759848,0.62959568422976,"FishLife",17.8706334621971,"FishLife"
"635","Sciaenidae","Micropogonias","Micropogonias undulatus","S","Micropogonias undulatus",6,31,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",4,"spe","FroesePauly2018","fusiform","truncate",1.26,"spe","FroesePauly2018",0.734715393288428,"fam","FishLife","non-guarder","inferred from genus",1,"spe-ocean","FroesePauly2019",209149.385436226,"fam-LME","FishLife",65,0.2,"spe-LME","FroesePauly2018",52,"spe-LME","FroesePauly2018",8,"spe","FroesePauly2018",24.7192226372028,"FishLife",696.053677759848,696.053677759848,0.62959568422976,"FishLife",17.8706334621971,"FishLife"
"636","Sciaenidae","Micropogonias","Micropogonias undulatus","S","Micropogonias undulatus",7,21,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",4,"spe","FroesePauly2018","fusiform","truncate",1.26,"spe","FroesePauly2018",0.734715393288428,"fam","FishLife","non-guarder","inferred from genus",1,"spe-ocean","FroesePauly2019",209149.385436226,"fam-LME","FishLife",41,0.34,"spe-ocean","FroesePauly2018",52,"spe-LME","FroesePauly2018",8,"spe","FroesePauly2018",24.7192226372028,"FishLife",696.053677759848,696.053677759848,0.62959568422976,"FishLife",17.8706334621971,"FishLife"
"1103",NA,NA,"Parascombrops spinosus",NA,NA,NA,NA,NA,NA,NA,NA,3.22239701602266,NA,"FishLife",NA,NA,NA,NA,NA,0.913761303626177,NA,"0.913761303626177",NA,NA,1.01276658866766,NA,"FishLife",2486.75579351575,NA,"FishLife",11.7024922230544,0.719565776876311,NA,"FishLife",9.96702119198642,NA,"FishLife",NA,NA,NA,18.4994973785045,"FishLife",17.5335160043239,17.5335160043239,1.43599761866794,"FishLife",6.50224349978314,"FishLife"
"397","Moronidae","Morone","Morone saxatilis","S","Morone saxatilis",6,21,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",4.65,"spe","FroesePauly2018","fusiform","forked",1.89,"spe","FroesePauly2018",3.15,"spe","FroesePauly2018","non-guarder","FroesePauly2018",3.80822666365308,"gen-ocean","FishLife",1472616.75217783,"gen-LME","FishLife",113,0.17,"spe-FAO","FroesePauly2018",200,"spe","FroesePauly2018",30,"spe","FroesePauly2018",16.7883247406384,"FishLife",11910.8688151029,11910.8688151029,0.211742416820869,"FishLife",49.4641652316603,"FishLife"
"398","Moronidae","Morone","Morone saxatilis","S","Morone saxatilis",7,21,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",4.65,"spe","FroesePauly2018","fusiform","forked",1.89,"spe","FroesePauly2018",3.15,"spe","FroesePauly2018","non-guarder","FroesePauly2018",3.80822666365308,"gen-ocean","FishLife",1472616.75217783,"spe-LME","FishLife",113,0.17,"spe-LME","FroesePauly2018",200,"spe","FroesePauly2018",30,"spe","FroesePauly2018",16.7883247406384,"FishLife",11910.8688151029,11910.8688151029,0.211742416820869,"FishLife",49.4641652316603,"FishLife"
"695","Serranidae","Centropristis","Centropristis striata","S","Centropristis striata",6,21,"reef-associated","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.89,"spe","FroesePauly2018","fusiform","truncate",1.03,"spe","FroesePauly2018",0.789627210372302,"fam","FishLife","non-guarder","FroesePauly2018",2.0979349684235,"fam-LME","FishLife",50549.0924884437,"fam-LME","FishLife",34,0.23,"spe-LME","FroesePauly2018",66,"spe","FroesePauly2018",10,"spe-LME","FroesePauly2018",18.8094986365641,"FishLife",305.264147329272,305.264147329272,0.628374703112202,"FishLife",14.7321793408941,"FishLife"
"696","Serranidae","Centropristis","Centropristis striata","S","Centropristis striata",6,31,"reef-associated","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.89,"spe","FroesePauly2018","fusiform","truncate",1.03,"spe","FroesePauly2018",0.789627210372302,"fam","FishLife","non-guarder","FroesePauly2018",2.0979349684235,"fam-LME","FishLife",50549.0924884437,"fam-LME","FishLife",34,0.23,"spe-LME","FroesePauly2018",66,"spe","FroesePauly2018",10,"spe-LME","FroesePauly2018",18.8094986365641,"FishLife",305.264147329272,305.264147329272,0.628374703112202,"FishLife",14.7321793408941,"FishLife"
"697","Serranidae","Centropristis","Centropristis striata","S","Centropristis striata",7,21,"reef-associated","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.89,"spe","FroesePauly2018","fusiform","truncate",1.03,"spe","FroesePauly2018",0.789627210372302,"fam","FishLife","non-guarder","FroesePauly2018",2.0979349684235,"fam-FAO","FishLife",50549.0924884437,"fam-LME","FishLife",35,0.44,"spe-LME","FroesePauly2018",66,"spe","FroesePauly2018",10,"spe-LME","FroesePauly2018",18.8094986365641,"FishLife",305.264147329272,305.264147329272,0.628374703112202,"FishLife",14.7321793408941,"FishLife"
"297","Haemulidae","Orthopristis","Orthopristis chrysoptera","S","Orthopristis chrysoptera",6,21,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.42,"spe","FroesePauly2018","compressiform","forked",1.83,"spe","FroesePauly2018",0.75,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2.23463698097551,"fam-ocean","FishLife",75889.8346248865,"fam-LME","FishLife",35.3710758422417,0.305185640382209,"gen-ocean","FishLife",46,"spe","FroesePauly2018",6,"spe","FroesePauly2018",24.0716701485505,"FishLife",507.784990411999,507.784990411999,0.637331335201484,"FishLife",15.1175788449342,"FishLife"
"298","Haemulidae","Orthopristis","Orthopristis chrysoptera","S","Orthopristis chrysoptera",6,31,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.42,"spe","FroesePauly2018","compressiform","forked",1.83,"spe","FroesePauly2018",0.75,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2.23463698097551,"fam-ocean","FishLife",75889.8346248865,"fam-ocean","FishLife",35.3710758422417,0.305185640382209,"gen-ocean","FishLife",46,"spe","FroesePauly2018",6,"spe","FroesePauly2018",24.0716701485505,"FishLife",507.784990411999,507.784990411999,0.637331335201484,"FishLife",15.1175788449342,"FishLife"
"299","Haemulidae","Orthopristis","Orthopristis chrysoptera","S","Orthopristis chrysoptera",7,21,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.42,"spe","FroesePauly2018","compressiform","forked",1.83,"spe","FroesePauly2018",0.75,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2.23463698097551,"fam-ocean","FishLife",75889.8346248865,"fam-LME","FishLife",35.3710758422417,0.305185640382209,"gen-ocean","FishLife",46,"spe","FroesePauly2018",6,"spe","FroesePauly2018",24.0716701485505,"FishLife",507.784990411999,507.784990411999,0.637331335201484,"FishLife",15.1175788449342,"FishLife"
"730","Sparidae","Stenotomus","Stenotomus chrysops","S","Stenotomus chrysops",6,21,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.82,"spe","FroesePauly2018","compressiform","forked",2.59,"spe","FroesePauly2018",0.88,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2.19487411901403,"gen-ocean","FishLife",7860,"spe-LME","FroesePauly2018",41,0.22,"spe-FAO","FroesePauly2018",37,"spe-LME","FroesePauly2018",19,"spe","FroesePauly2018",15.6995552119431,"FishLife",820.517493016593,820.517493016593,0.436018876785336,"FishLife",19.5786421651397,"FishLife"
"731","Sparidae","Stenotomus","Stenotomus chrysops","S","Stenotomus chrysops",6,31,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.82,"spe","FroesePauly2018","compressiform","forked",2.59,"spe","FroesePauly2018",0.88,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2.19487411901403,"gen-ocean","FishLife",7860,"spe-LME","FroesePauly2018",41,0.22,"spe-ocean","FroesePauly2018",37,"spe-LME","FroesePauly2018",19,"spe","FroesePauly2018",15.6995552119431,"FishLife",820.517493016593,820.517493016593,0.436018876785336,"FishLife",19.5786421651397,"FishLife"
"732","Sparidae","Stenotomus","Stenotomus chrysops","S","Stenotomus chrysops",7,21,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.82,"spe","FroesePauly2018","compressiform","forked",2.59,"spe","FroesePauly2018",0.88,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2.19487411901403,"gen-ocean","FishLife",7860,"spe-LME","FroesePauly2018",41,0.22,"spe-LME","FroesePauly2018",37,"spe-LME","FroesePauly2018",19,"spe","FroesePauly2018",15.6995552119431,"FishLife",820.517493016593,820.517493016593,0.436018876785336,"FishLife",19.5786421651397,"FishLife"
"247","Epigonidae","Epigonus","Epigonus pandionis","S","Epigonus pandionis",7,21,"bathydemersal","FroesePauly2018, OBIS2018","generalist","inferred from genus",3.43032781898443,"genus","FishLife","fusiform","forked",1.21,"spe","FroesePauly2018",0.586468659947608,"fam","FishLife","non-guarder","FroesePauly2018",2.37369063483492,"gen-ocean","FishLife",18624.6025430768,"","FishLife",31.4127345390368,0.244856511098506,"gen-ocean","FishLife",19,"spe","FroesePauly2018",42.3,"gen-ocean","FroesePauly2018",15.4672523549523,"FishLife",316.36042295719,316.36042295719,0.509311289730018,"FishLife",18.4616715491322,"FishLife"
"248","Epigonidae","Epigonus","Epigonus pandionis","S","Epigonus pandionis",8,21,"bathydemersal","FroesePauly2018, OBIS2018","generalist","inferred from genus",3.43032781898443,"genus","FishLife","fusiform","forked",1.21,"spe","FroesePauly2018",0.586468659947608,"fam","FishLife","non-guarder","FroesePauly2018",2.37369063483492,"gen-ocean","FishLife",18624.6025430768,"","FishLife",31.4127345390368,0.244856511098506,"gen-ocean","FishLife",19,"spe","FroesePauly2018",42.3,"gen-ocean","FroesePauly2018",15.4672523549523,"FishLife",316.36042295719,316.36042295719,0.509311289730018,"FishLife",18.4616715491322,"FishLife"
"619","Sciaenidae","Cynoscion","Cynoscion regalis","S","Cynoscion regalis",6,21,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.77,"spe","FroesePauly2018","fusiform","truncate",1.45,"spe","FroesePauly2018",1,"spe","FroesePauly2018","non-guarder","FroesePauly2018",0.5,"spe","FroesePauly2019",286133.430259879,"gen-LME","FishLife",78,0.29,"spe-FAO","FroesePauly2018",70,"spe-LME","FroesePauly2018",18,"spe-LME","FroesePauly2018",17.4811510022184,"FishLife",3182.98883794458,3182.98883794458,0.481901750770566,"FishLife",15.6150153653911,"FishLife"
"620","Sciaenidae","Cynoscion","Cynoscion regalis","S","Cynoscion regalis",6,31,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.77,"spe","FroesePauly2018","fusiform","truncate",1.45,"spe","FroesePauly2018",1,"spe","FroesePauly2018","non-guarder","FroesePauly2018",0.5,"spe","FroesePauly2019",286133.430259879,"gen-LME","FishLife",78,0.29,"spe-ocean","FroesePauly2018",70,"spe-LME","FroesePauly2018",18,"spe-LME","FroesePauly2018",17.4811510022184,"FishLife",3182.98883794458,3182.98883794458,0.481901750770566,"FishLife",15.6150153653911,"FishLife"
"621","Sciaenidae","Cynoscion","Cynoscion regalis","S","Cynoscion regalis",7,21,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.77,"spe","FroesePauly2018","fusiform","truncate",1.45,"spe","FroesePauly2018",1,"spe","FroesePauly2018","non-guarder","FroesePauly2018",0.5,"spe","FroesePauly2019",286133.430259879,"gen-LME","FishLife",78,0.29,"spe-LME","FroesePauly2018",70,"spe-LME","FroesePauly2018",18,"spe-LME","FroesePauly2018",17.4811510022184,"FishLife",3182.98883794458,3182.98883794458,0.481901750770566,"FishLife",15.6150153653911,"FishLife"
"631","Sciaenidae","Menticirrhus","Menticirrhus saxatilis","S","Menticirrhus saxatilis",6,21,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.56011539208035,"genus","FishLife","fusiform","truncate",1.28,"spe","FroesePauly2018",0.84,"spe","FroesePauly2018","non-guarder","inferred from genus",1.7461267861142,"gen-ocean","FishLife",92325.1062979356,"fam-LME","FishLife",42,0.62,"spe-FAO","FroesePauly2018",46,"spe","FroesePauly2018",8,"gen-ocean","FroesePauly2018",16.5512030619458,"FishLife",734.876502922547,734.876502922547,0.541179426418431,"FishLife",21.5427400548109,"FishLife"
"632","Sciaenidae","Menticirrhus","Menticirrhus saxatilis","S","Menticirrhus saxatilis",6,31,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.56011539208035,"genus","FishLife","fusiform","truncate",1.28,"spe","FroesePauly2018",0.84,"spe","FroesePauly2018","non-guarder","inferred from genus",1.7461267861142,"gen-ocean","FishLife",92325.1062979356,"fam-LME","FishLife",42,0.62,"spe-ocean","FroesePauly2018",46,"spe","FroesePauly2018",8,"gen-ocean","FroesePauly2018",16.5512030619458,"FishLife",734.876502922547,734.876502922547,0.541179426418431,"FishLife",21.5427400548109,"FishLife"
"633","Sciaenidae","Menticirrhus","Menticirrhus saxatilis","S","Menticirrhus saxatilis",7,21,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.56011539208035,"genus","FishLife","fusiform","truncate",1.28,"spe","FroesePauly2018",0.84,"spe","FroesePauly2018","non-guarder","inferred from genus",1.7461267861142,"gen-ocean","FishLife",92325.1062979356,"fam-LME","FishLife",42,0.62,"spe-LME","FroesePauly2018",46,"spe","FroesePauly2018",6,"gen-ocean","FroesePauly2018",16.5512030619458,"FishLife",734.876502922547,734.876502922547,0.541179426418431,"FishLife",21.5427400548109,"FishLife"
